f1.x., f2.x.
34.83229606941421, -0.8053858907763937, 17.739436256524694
34.28894030784265, -0.7928225196116068, 17.972303671165566
34.83229606941421, -1.142285991554985, 18.07633635730329
34.487421850905164, -0.7974117730459342, 18.07633635730329
34.14596222861897, -0.4559521507597416, 18.07633635730329
34.48742185090516, -0.7974117730459341, 18.076336357303294
34.48397310872007, -0.7973320318686298, 18.079705358311074
34.14254763239611, -0.7894376553154749, 18.413236458081883
33.80450260633278, -0.4513926292521442, 18.413236458081883
33.80112215607215, -0.7815432787623201, 18.746767557852692
34.14254763239611, -0.4559065555446657, 18.079705358311074
34.48397310872007, -1.130863131639435, 18.413236458081883
35.18061903010836, -0.8134397496841577, 17.39916715473832
33.94605090476423, -0.7848942944154906, 18.307264849047876
34.139133377632874, -0.45249230078143, 18.079705358311074
34.596460760069554, -0.7999329504845861, 18.133488324377257
34.250496152468855, -0.7919336209797403, 18.471453602473108
34.82881283980728, -1.1421717629558295, 18.079705358311074
33.80112215607215, -0.4480121789915148, 18.413236458081883
33.46645758026945, -0.11334760318881344, 18.413236458081883
34.14254763239611, -0.45253755453688366, 18.07633635730329
35.18061903010835, -1.1537088514705347, 17.739436256524694
34.48397310872007, -0.4570629300822525, 17.739436256524694
34.25392154462332, -0.45739373503834996, 18.133488324377257
